Start,End,Dvol,LFI
1987-04-09,1987-04-17,184108309.3443722,0.28565721273497235
1987-07-18,1987-07-27,18807871.255351853,0.033780923761428716
1988-11-14,1988-11-22,74223462.84259576,0.12682294587636722
1989-11-22,1989-12-01,39024232.588726275,0.06882018702324155
1999-03-01,1999-03-13,130127335.47917278,0.21160917502247278
1999-10-26,1999-11-01,14081941.347674683,0.02540154167227271
2000-01-10,2000-01-18,192029084.29289618,0.2959210130130111
2002-01-21,2002-02-03,179551461.43580377,0.27968475440445617
2005-02-20,2005-04-09,2211072509.341678,0.9824015985357775
2008-12-05,2009-01-05,437804696.9524378,0.5506405227676268
2010-04-23,2010-07-19,1313554490.9985178,0.909286837724921
2010-08-13,2010-12-03,725547391.9425417,0.7343775519409808
2011-05-11,2011-07-21,997634872.2519368,0.8384308851775968
2011-08-06,2011-10-15,534025990.5362489,0.6230875039910329
2011-12-01,2011-12-11,142853296.39698437,0.2297294795833259
2011-12-21,2012-02-04,1796672519.2659872,0.9624761622855307
2013-02-06,2016-01-30,313020101.20886874,0.4355665002143213
