Start,End,Dvol,LFI
1973-12-12,1973-12-22,7137608.496674925,0.34534021699487705
1976-10-01,1976-11-28,48413411.09506823,0.9434985377946483
1976-12-19,1977-01-01,7399075.686562316,0.3554213919643915
1980-02-10,1980-02-17,11670166.416135298,0.49975695702606626
1983-01-31,1983-02-06,435036.86165010475,0.02549030451709766
1983-02-25,1983-03-13,59887130.798203416,0.9714040517751716
1983-03-24,1983-04-15,37367883.33856937,0.8911627709998818
1983-08-08,1983-08-22,165479.10913883807,0.009773632002981314
1983-09-06,1983-10-30,9350759.793393197,0.4259260789507261
1986-01-26,1986-02-06,14311559.513760364,0.5723440365679061
1986-05-03,1986-05-14,1482449.0746263796,0.08422816320824766
1987-03-30,1987-04-09,1330661.0343806292,0.07594060814991166
1989-02-13,1989-03-06,10803741.024649933,0.47335897574016317
1990-04-20,1990-05-10,4814595.55385667,0.24855814371437635
1991-12-13,1991-12-29,25203016.370920263,0.775948327483519
1992-03-20,1992-06-15,73522306.83671571,0.9872698359274774
1992-07-14,1992-07-22,1457931.5904217327,0.08289457104071063
1994-06-12,1994-09-18,55449052.041466504,0.9627862238264726
1996-07-13,1996-08-13,1470090.8441271717,0.08355619816402893
1996-08-23,1996-08-29,585976.0962822082,0.0341816741157156
1996-09-12,1996-09-20,886173.8983343763,0.05123792018054196
1998-01-16,1998-02-22,73650941.84211944,0.98736665928728
1998-05-28,1998-06-21,15748804.756360233,0.6073125484073123
1999-12-23,1999-12-29,944787.7284007701,0.05453284888041443
2001-12-08,2001-12-20,2079896.6733449218,0.11613278118341508
2002-01-14,2002-02-01,37783487.97911518,0.893814665403132
2002-05-17,2002-06-07,18612893.893989693,0.6687010048292358
2003-08-18,2003-09-23,4834951.971155413,0.24946550075280838
2003-10-20,2003-10-27,234505.77634095086,0.013822241351946318
2003-11-08,2003-11-26,3144854.5696797115,0.17027175310632503
2010-11-15,2010-11-30,1426387.8557891534,0.08117593939029799
2016-01-24,2016-01-30,20786299.236147758,0.7087963620860502
2016-11-01,2016-11-10,1951615.5067169387,0.1093774268710942
2016-12-19,2016-12-26,6437190.353548748,0.31755105865834876
2017-01-21,2017-02-19,76071957.36037841,0.9890576071843986
2017-09-04,2017-10-03,1359295.465979445,0.07750975385665182
2017-10-26,2017-11-08,209646.76409338208,0.012366100710420436
2017-12-17,2018-01-07,1813914.2717756736,0.10206853886906153
