Start,End,Dvol,LFI
1982-05-22,1982-06-16,5782.48346447328,0.05294244553623273
1982-07-19,1982-09-18,40276.73530894642,0.31537250676967854
1983-05-22,1983-06-19,14900.063277920935,0.13078418780702672
1987-06-16,1987-07-19,27477.576506092082,0.22777522693534924
1988-02-10,1988-02-17,59729.53545946805,0.42985895779268557
1989-02-18,1989-03-11,692969.6714362048,0.998524438346795
1992-03-11,1992-04-02,31287.755822732644,0.25496322639169355
1994-03-05,1994-03-15,65594.29831155099,0.4604613814508799
1996-03-12,1996-03-24,146801.02074057623,0.7486595279077275
2002-01-08,2002-01-15,64079.14323166908,0.4527162969631465
2004-05-25,2004-06-28,15784.477578097718,0.1379857367272842
2004-07-09,2004-07-25,12594.116602250753,0.11172327934594084
2004-08-04,2004-09-26,40285.069344751224,0.315426177875732
2004-10-07,2004-11-04,22915.98167776042,0.19391736369867008
2004-11-24,2004-12-07,12709.413398352435,0.11268617205246334
2005-03-18,2005-04-09,49415.703211705164,0.37177067841395783
2005-06-19,2005-07-01,8103.301394867046,0.07339432533628354
2005-07-13,2005-08-29,25176.663441863293,0.2108785874491984
2005-09-21,2005-10-05,20859.727702721382,0.17817350258669884
2005-11-02,2005-11-09,6859.043507518313,0.06248501389779382
2009-02-02,2009-02-08,109593.31681127021,0.6433272424169628
2009-04-24,2009-05-08,9505.26133479546,0.08553430085189506
2009-09-07,2009-10-26,33183.1316336694,0.2681292613643377
2014-11-26,2014-12-09,14822.697225768614,0.13015136230809943
2016-11-13,2016-12-03,18086.034893578286,0.15644826762647834
2016-12-14,2017-01-12,118173.45438340085,0.6709841354835666
2017-01-23,2017-02-21,737957.0032772444,0.9990335772805093
2017-11-11,2018-05-13,571606.6039775338,0.9953786241110261
