Start,End,Dvol,LFI
1967-11-15,1967-12-04,23828017.823528633,0.16594570370940498
1968-05-27,1968-06-08,66891576.27432694,0.3991424383078238
1968-06-24,1968-07-04,12133059.557196733,0.08825644424879564
1968-09-26,1968-10-03,17950600.690874517,0.1277669750848759
1968-10-15,1968-10-27,18179318.872378916,0.1292848651778391
1969-03-08,1969-03-25,112316689.93844607,0.5748536657033458
1969-06-26,1969-07-05,2978594.2838243623,0.02242747738375639
1969-07-18,1969-07-30,7940205.917320805,0.05867498633051482
1969-08-17,1969-11-07,275065660.3446546,0.8768927201039857
1970-01-14,1970-01-25,235358354.92957708,0.8334262760571478
1971-05-23,1971-06-06,26340250.056369845,0.1817506013758612
1971-09-18,1971-09-27,8712224.575634582,0.06419292230259743
1972-07-03,1972-07-15,21802912.144597266,0.15298345421342774
1974-05-14,1974-07-18,168957854.08352757,0.7238081588516704
1974-11-16,1974-12-12,208961554.61380568,0.7963390209765304
1975-01-04,1975-01-11,215904882.9712993,0.8068279142157558
1975-04-19,1975-04-27,65248109.47758103,0.39157518510222133
1976-10-24,1976-10-31,10400400.67300238,0.0761465770694949
1976-11-11,1976-12-02,83731402.98034869,0.4714602121005992
1977-01-22,1977-02-05,275191602.29587764,0.8770107334652306
1978-10-16,1978-10-31,11312810.854874,0.08254349159947516
1983-01-26,1983-02-12,129160171.7429258,0.6260336672869722
1987-03-14,1987-04-14,620716596.956318,0.9911463379468193
1987-07-26,1987-08-31,173492547.3208308,0.7331830640272665
1988-10-08,1988-10-25,26990628.865475874,0.18579321564425522
1988-11-13,1988-12-01,75013308.45674378,0.4351790797421472
1988-12-14,1988-12-23,52589663.68144883,0.3300046166966859
1989-08-17,1989-08-26,3954584.673982889,0.02966628222026968
1989-12-03,1989-12-25,158242475.36592677,0.7003257064592906
1990-03-02,1990-04-06,346811955.192079,0.92871479481743
1990-04-28,1990-05-04,20733169.348226786,0.14605515394106305
1991-05-29,1991-06-19,201768562.67229858,0.7848719751365091
1991-07-26,1991-10-20,468253674.13406193,0.971727845018571
1992-02-01,1992-02-17,261755512.02298716,0.8637602045593933
1995-02-09,1995-02-15,23444663.71019466,0.163507253986254
1995-12-16,1996-01-24,170277448.7683958,0.7265697308781398
1996-03-17,1996-03-23,45432076.43886377,0.2924715951139375
2002-01-25,2002-02-01,16809783.46652432,0.1201563254548138
2003-11-18,2003-11-28,43770507.25607696,0.283462148694434
2004-03-01,2004-03-12,106954591.87239149,0.5571339974219677
2009-01-31,2009-02-07,124008634.95215484,0.6110712696265415
2009-06-20,2009-07-03,35825526.9829847,0.23877099486290487
2010-04-12,2010-04-23,105285184.13248794,0.5514679063275714
2010-10-29,2010-12-25,292203219.8213241,0.8919548671021227
2016-01-05,2016-01-31,668444718.5179085,0.9938443604567235
2016-03-16,2016-03-22,88565196.4154572,0.4905623614787572
2016-04-10,2016-04-17,42100051.11404755,0.27428886679718145
